Staat/Region	is_country	1971	1975	1980	1985	1990	1995	2000	2005	2010	2015	2016
Chile	1	2.16	1.64	1.92	1.62	2.23	2.58	3.16	3.34	4.01	4.5	4.67
Kanada	1	15.49	16.3	17.22	15.24	15.15	15.32	16.82	16.75	15.57	15.12	14.91
Mexiko	1	1.75	2.21	2.91	3.06	2.95	3.08	3.57	3.85	3.86	3.66	3.64
Vereinigte Staaten von Amerika	1	20.65	20.17	20.18	18.93	19.2	19.03	20.29	19.27	17.28	15.32	14.95
OECD-Staaten Amerika	0	16.2	15.74	15.71	14.55	14.57	14.46	15.5	14.86	13.45	12.07	11.8
Australien	1	10.86	12.85	13.96	13.84	15.03	15.66	17.36	18.18	17.42	15.72	16
Israel	1	4.52	4.75	4.86	5.74	7.04	8.09	8.7	8.45	8.98	7.69	7.46
Japan	1	7.15	7.6	7.44	7.16	8.39	8.86	8.87	9.11	8.62	9.07	9.04
Neuseeland	1	4.71	5.32	5.24	5.78	6.45	6.48	7.5	8.13	6.97	6.76	6.45
Südkorea	1	1.61	2.2	3.3	3.82	5.41	7.92	9.19	9.5	11.12	11.41	11.5
OECD-Staaten Asien und Ozeanien	0	6.21	6.8	7	6.94	8.25	9.21	9.72	10.05	10.11	10.27	10.29
Belgien	1	12.21	11.81	12.74	10.25	10.66	10.99	11.1	10.25	9.51	8.24	8.11
Dänemark	1	11.17	10.4	12.31	11.94	9.92	11.16	9.52	8.95	8.52	5.62	5.84
Deutschland	1	12.49	12.37	13.39	12.93	11.84	10.54	9.97	9.67	9.45	8.93	8.88
Estland	1					22.06	10.97	10.31	12.32	13.93	11.51	12.44
Finnland	1	8.64	9.38	11.48	9.85	10.8	10.91	10.55	10.47	11.56	7.74	8.28
Frankreich	1	8.07	7.85	8.25	6.21	5.94	5.78	5.99	5.89	5.25	4.39	4.38
Griechenland	1	2.81	3.73	4.64	5.43	6.81	7.24	8.14	8.66	7.5	5.97	5.85
Irland	1	7.27	6.66	7.61	7.47	8.59	9.06	10.76	10.67	8.67	7.62	7.87
Island	1	6.82	7.4	7.66	6.76	7.44	7.36	7.69	7.55	6.13	6.22	6.16
Italien	1	5.35	5.72	6.3	6.04	6.87	7.06	7.38	7.84	6.55	5.43	5.37
Lettland	1					7.05	3.58	2.89	3.39	3.86	3.46	3.47
Luxemburg	1	48.16	35.49	34.2	28.16	28.13	20.06	18.44	24.64	20.96	15.49	14.51
Niederlande	1	9.68	9.66	10.28	9.55	9.89	10.58	10.15	10.25	10.24	9.22	9.23
Norwegen	1	5.89	5.89	6.67	6.36	6.48	7.21	7.1	7.46	7.85	6.95	6.78
Österreich	1	6.48	6.53	7.2	6.96	7.33	7.49	7.72	9.04	8.17	7.24	7.2
Polen	1	8.76	9.96	11.69	11.35	9.07	8.71	7.57	7.76	7.98	7.35	7.63
Portugal	1	1.65	1.96	2.41	2.37	3.79	4.71	5.62	5.85	4.5	4.54	4.59
Schweden	1	10.13	9.65	8.8	6.99	6.09	6.45	5.86	5.44	4.91	3.79	3.83
Schweiz	1	6.14	5.74	6.15	6.39	6	5.84	5.79	5.88	5.51	4.51	4.53
Slowakei	1	8.53	9.11	11.2	10.54	10.35	7.69	6.83	6.92	6.37	5.43	5.56
Slowenien	1					6.77	7.07	7.06	7.72	7.54	6.21	6.58
Spanien	1	3.44	4.33	4.9	4.45	5.15	5.75	6.87	7.64	5.63	5.32	5.14
Tschechische Republik	1	15.61	15.4	16.27	16.95	14.49	11.92	11.8	11.57	10.7	9.45	9.6
Türkei	1	1.15	1.49	1.61	1.9	2.34	2.58	3.13	3.15	3.67	4.12	4.33
Ungarn	1	5.81	6.66	7.72	7.54	6.34	5.45	5.22	5.43	4.72	4.34	4.48
Vereinigtes Königreich	1	11.11	10.25	10.13	9.61	9.6	8.86	8.84	8.8	7.6	6.04	5.65
OECD-Staaten Europa	0	8.08	8.1	8.65	8.01	7.8	7.46	7.45	7.5	6.88	6.11	6.1
Albanien	1	1.77	1.8	2.55	2.34	1.73	0.58	1	1.27	1.35	1.33	1.28
Armenien	1					5.61	1.05	1.12	1.39	1.41	1.61	1.67
Aserbaidschan	1					7.47	4.21	3.39	3.46	2.6	3.19	3.22
Bosnien und Herzegowina	1					5.37	0.85	3.64	4.19	5.5	5.44	6.24
Bulgarien	1	7.48	8.41	9.6	9.17	8.55	6.27	5.16	6.07	6	6.1	5.68
Mazedonien	1					4.3	4.19	4.19	4.33	4.02	3.43	3.32
Georgien	1					6.97	1.72	1.05	0.97	1.27	2.26	2.37
Gibraltar	1	2.64	2.39	3.34	3.22	5.1	9.68	11.73	13.09	15.3	17.34	18.99
Kasachstan	1					14.51	10.78	7.53	10.36	13.55	12.83	12.92
Kosovo	1							3	3.89	4.9	4.78	5
Kirgistan	1					5.18	0.98	0.91	0.95	1.11	1.66	1.53
Kroatien	1					4.25	3.17	3.79	4.48	4.13	3.69	3.8
Litauen	1					8.71	3.7	2.92	3.75	3.98	3.63	3.75
Malta	1	2.16	2.14	3.13	3.45	6.54	6.31	5.46	6.49	6.22	3.81	3.1
Moldawien	1					8.26	3.24	1.8	2.17	2.22	2.13	2.17
Montenegro	1								3.27	4.18	3.79	3.39
Rumänien	1	5.6	6.6	7.97	7.69	7.25	5.18	3.84	4.35	3.69	3.51	3.45
Russische Föderation	1					14.59	10.44	10.06	10.33	10.71	10.18	9.97
